UF Code;EIC Code;Short Description;Large Description;Maximum Power Capacity MW;Production Type;BRP Code;UP Code
3PINOS;18W0000000004ZX6;3PINOS;3PINOS - VELA;6,0;Solar PV;GNRA;UPBLAN
3VILLAS;18W3VILLAS-123-5;3VILLAS;PARQUE EÓLICO TRES VILLAS;49,5;Wonshore wind;CEG;EUW3VIL
4CAM1;18W000000000RO29;4CAMINOS1;CUATROCAMINOS1;6,2;Solar PV;ADXRE;FAUDAX
4CAM2;18W000000000RO37;4CAMINOS2;CUATROCAMINOS2;6,2;Solar PV;ADXRE;FAUDAX
4CAM3;18W000000000RO45;4CAMINOS3;CUATROCAMINOS4;3,7;Solar PV;ADXRE;FAUDAX
4CAM4;18W000000000RO53;CUATROCAM4;CUATROCAM4;3,7;Solar PV;ADXRE;FAUDAX
98D-481;18W98D-481-123-M;98D-481;TORRAS PAPEL-MONTAÑESA;23,6;Natural Gas Cogeneration;NEXU;TTFTPZG
98FUTUR;18W98FUTUR-123-W;98FUTUR;UF 98FUTUR;1,5;Solar PV;EFG;FGEFG
ABA1;18WABA1-12345-AJ;ABARAN 1;ABARAN 1;0,3;Hydro UGH;BARER;ABA1
ABA2;18WABA2-12345-A9;ABARAN 2;ABARAN 2;0,4;Hydro UGH;BARER;ABA2
ABADC;18W000000000N8TJ;ABADC;ABADIÑO COMPRA;6,8;Storage buy;IBGES;AFIBGEC
ABADV;18W000000000N8UH;ABADV;BATERIAS ABADIÑO;6,8;Storage sale;IBGES;AFIBGEV
ABARA;18WABARA-12345-Z;ABARA;P.E E. ABARA;6,0;Wonshore wind;EGED;EABARA
ABASC01;18W000000000JLUV;UPC ABAST;UP COMPRA ABASTE;1,0;Competitive suppliers;ABAST;ABASC01
ABELLA;18W000000000FFGJ;ABELLA;18W000000000FFGJ;15,0;Wonshore wind;EGLE;EINVER
ABENOJA;18W000000000R5QI;ABENOJA;ABENOJAR;5,0;Solar PV;NEXU;FABENOJ
ABJEREZ;18W000000000TF4O;JEREZ;JEREZ;20,0;Solar PV;SHEEN;SHEPV29
ABNIX;18W000000000SJFV;ABNIX;ABNIX;1,8;Solar PV;GNRA;FVGNRA
ABO1;18WABO1-12345-D7;ABOÑO 1;ABOÑO  (G.1);341,7;Soft coal/Anthracite;ABOGE;ABO1
ABO2;18WABO2-12345-DY;ABOÑO 2;ABOÑO  (G.2);561,8;Natural Gas;ABOGE;ABO2G
ABOUC01;18W-ABOUC01-3--H;ABOUTWHI;ABOUT WHITE, S.L.;0,1;Competitive suppliers;ABOUT;ABOUC01
ABOX;18W000000000T21W;ABOX;COMPRA SSAA ABOÑO;30,0;Aux. Svcs. Consumption;ABOGE;ABOX
AC86BA;18W000000000OT8V;AC86BA;AC86BA;1,0;Competitive suppliers;FORTI;FORTR01
ACAIX;18W000000000TVUZ;ACAIX;ACAIX;2,0;Solar PV;GNRA;UPSON4
ACAMP;18WACAMP-12345-C;ACAMP;P.E. CAMPO ARIAS;48,0;Wonshore wind;HC G;HCGSIHA
ACAMPOH;18WACAMPOH-123-1;ACAMPO;P.E. ACAMPO HOSPITAL;6,0;Wonshore wind;ECYR;EEGPEM
ACAPC01;18W000000000MPRD;ACAPC01;ACAPC01;0,8;Market direct consumption;ACAPE;ACAPC01
ACASIL1;18WPEALCASILL1-U;ACASIL1;P.E. ALTO CASILLAS I;30,0;Wonshore wind;ECYR;EEGPES
ACASIL2;18WPEALCASILL2-R;ACASIL2;P.E. ALTO CASILLAS II;30,0;Wonshore wind;ECYR;EEGPES
ACC1;18WACC1-12345-AM;ACECA H 1;ACECA HIDRAULICA G1;0,1;Hydro UGH;IBEG;TAJO
ACC2;18WACC2-12345-AC;ACECA H 2;ACECA HIDRAULICA G2;0,4;Hydro UGH;IBEG;TAJO
ACC3;18WACC3-12345-A2;ACECA H 3;ACECA HIDRAULICA G3;0,2;Hydro UGH;IBEG;TAJO
ACE3;18WACE3-12345-CD;ACECA 3;C. C. GT ACECA3;386,0;Combined Cycle GT;IBGT;ACE3
ACE4;18WACE4-12345-C3;ACECA4;ACECA4;372,6;Combined Cycle GT;GNCC;ACE4
ACEBO;18WACEBO-1234-E1;ACEBO;P.E. SIERRA DEL ACEBO;17,8;Wonshore wind;HC G;HCGSCSA
ACEGUAD;18WACEGUAD-123-1;ACEGUAD;ACEITERA GUADALQUIVIR;8,2;Natural Gas Cogeneration;GNRA;TLARODA
ACENC01;18W-ACENC01-7--5;ACENORCA;ACENORCA;0,9;Market direct consumption;ACENO;ACENC01
ACHEC01;18W-ACHEC01-4--V;CHERA;CHERA;1,4;Competitive suppliers;ACHER;ACHEC01
ACIBERO;18W000000000RXGS;ACIBERO;ACIBEROS;33,6;Wonshore wind;WMARK;EACIBER
ACINF;18W000000000JJFU;ACINF;ACINF;8,0;Solar PV;GNRA;UPEJO
ACNHC01;18W000000000OGAT;ACNHC01;UP COMPRA;0,0;Competitive suppliers;ACENH;ACNHC01
ACOLLAR;18W000000000UEX2;ACOLLAR;UF SOLAR AZNALCOLLAR;41,6;Solar PV;NEXU;FCOLLAR
ACR1;18WACR1-12345-A5;AC.VEGA 1;ACERA DE LA VEGA 1;4,7;Hydro UGH;IBEG;DUER
ACR2;18WACR2-12345-AW;AC.VEGA 2;ACERA DE LA VEGA 2;4,7;Hydro UGH;IBEG;DUER
ACSOC01;18W0000000003SEW;ACSOL;ACSOL ENERGIA GLOBAL;0,1;Competitive suppliers;ACSOL;ACSOC01
ACTIC01;18W000000000GPZL;ACTIC01UN1;ACTIVA UPROG COMER 1;100,0;Competitive suppliers;ACTIV;ACTIC01
ACUADRA;18WACUADRA-12-EG;ACUADRA;P. E. ALABE CUADRAMÓN;18,7;Wonshore wind;EGED;EFEGEL2
ACUAVIR;18WACUAVIR-123-A;ACUAVIR;C.H. PRESA DEL ARENOSO;12,5;Hydro non UGH;IGNIS;HACUAVI
ADAFW;18W000000000QZ69;ADAFW;ADAFW;1,0;Solar PV;GNRA;FVGNRA
ADEIC01;18W-ADEIC01-6--6;ADEINNOVA;ADEINNOVA ENERGIA S.L;0,5;Competitive suppliers;ADEIN;ADEIC01
ADEIV01;18W000000000S4OL;FYNEXU;FYNEXU;0,2;Solar PV;ADEIN;ADEIV01
ADELC01;18W-ADELC01-4--O;ADELFAS;ADELFAS;4,0;Competitive suppliers;ADELF;ADELC01
ADFIN;18W000000000FAE1;ADFIN;ADFIN;6,1;Solar PV;GNRA;FUEPA
